Prime Minister Narendra Modi met Her Majesty Queen Maxima of the Kingdom of the Netherlands today.	প্ৰধানমন্ত্ৰী নৰেন্দ্ৰ মোদীয়ে আজি নেদাৰলেণ্ডছৰ মহাৰাণী মহামহিম মেক্সিমাক সাক্ষাৎ কৰে৷
The Union Cabinet, chaired by the Prime Minister Shri Narendra Modi, was apprised about an MoU signed in February, 2019 between India and Republic of Korea.	প্ৰধানমন্ত্ৰী শ্ৰী নৰেন্দ্ৰ মোদীৰ পৌৰহিত্যত কেন্দ্ৰীয় কেবিনেটক ২০১৯ বৰ্ষৰ ফেব্ৰুৱাৰী মাহত কোৰিয়া গণৰাজ্য আৰু ভাৰতৰ মাজত হোৱা বুজাবুজিৰ চুক্তি সন্দৰ্ভত অৱগত কৰোৱা হয়৷
Department of Posts, Ministry of Communications, Government of India and The Ministry of Science and ICT (Korea Post), Government of the Republic of Korea have mutually agreed to jointly issue Postage Stamps on the theme “Queen Hur Hwang-ok of Korea”.	ভাৰত চৰকাৰৰ ডাক বিভাগ, যোগাযোগ মন্ত্ৰ্যালয় আৰু কোৰিয়া গণৰাজ্যৰ বিজ্ঞান আৰু আইচিটি মন্ত্ৰ্যালয়ে (কোৰিয়া ডাক) যুটীয়াভাৱে ‘‘কুইন হুৰ হোৱাং-অক অব্ কোৰিয়া’’ বিষয়ভিত্তিক ডাক টিকেট মুকলি কৰা সন্দৰ্ভত সিদ্ধান্ত গ্ৰহণ কৰে৷
The Union Cabinet chaired by Prime Minister Shri Narendra Modi has approved The DNA Technology (Use and Application) Regulation Bill 2018.	প্ৰধানমন্ত্ৰী শ্ৰী নৰেন্দ্ৰ মোদীৰ অধ্যক্ষতাত কেন্দ্ৰীয় কেবিনেট বৈঠকত ডিএনএ প্ৰযুক্তি (ব্যৱহাৰ আৰু প্ৰয়োগ) নিয়ন্ত্ৰণ বিধেয়ক, ২০১৮ত অনুমোদন জনাইছে।
• The primary intended purpose for enactment of the “DNA Based Technology (Use and Regulation) Bill 2018” is for expanding the application of DNA-based forensic technologies to support and strengthen the justice delivery system of the country.	দেশত ডিএনএভিত্তিক ফৰেন্সিক প্ৰযুক্তি সম্প্ৰসাৰণ আৰু প্ৰয়োগৰ জৰিয়তে বিচাৰ প্ৰক্ৰিয়াৰ প্ৰতি সমৰ্থন আৰু সুদৃঢ় কৰাৰ লক্ষ্যৰে “ডিএনএভিত্তিক প্ৰযুক্তি (ব্যৱহাৰ আৰু নিয়ন্ত্ৰণ) বিধেয়ক, ২০১৮” প্ৰৱৰ্তনৰ মুখ্য উদ্দেশ্য।
• The utility of DNA based technologies for solving crimes, and to identify missing persons, is well recognized across the world.	ডিএনএভিত্তিক প্ৰযুক্তিৰ উপকাৰিতা হৈছে অপৰাধজনিত সমস্যাৰ সমাধান আৰু সন্ধানহীন লোকক চিনাক্তকৰণ, যিটো সমগ্ৰ দেশতে স্বীকৃত।
• By providing for the mandatory accreditation and regulation of DNA laboratories, the Bill seeks to ensure that with the proposed expanded use of this technology in the country, there is also the assurance that the DNA test results are reliable and the data remain protected from misuse or abuse in terms of the privacy rights of our citizens.	বিধেয়কখনৰ জৰিয়তে ডিএনএ পৰীক্ষাগাৰৰ বাবে স্বীকৃতি আৰু নিয়ন্ত্ৰণ বাধ্যতামুলক কৰাৰ মুল কাৰণ হৈছে দেশত এনে প্ৰযুক্তিৰ ব্যৱহাৰ বৃদ্ধি কৰা আৰু ডিএনএ পৰীক্ষাৰ বিশ্বাসযোগ্যতা নিশ্চিত কৰাৰ লগতে আমাৰ নাগৰিকসকলৰ গোপনীয়তাৰ অধিকাৰক অপব্যৱহাৰ কৰাত সুৰক্ষা প্ৰদান কৰা।
• Speedier justice delivery.	ক্ষীপ্ৰতাৰে ন্যায় প্ৰদান।
• Bill’s provisions will enable the cross-matching between persons who have been reported missing on the one hand and unidentified dead bodies found in various parts of the country on the other, and also for establishing the identity of victims in mass disasters.	এই বিধেয়কত দেশৰ যিকোনো স্থানত কোনো এজন লোক সন্ধানহীন হোৱাৰ বিপৰীতে আন এঠাইত অচিনাক্ত মৃতদেহ উদ্ধাৰ হ’লে, দুয়োটাৰে ক্ৰছ মেচিং কৰাৰ ব্যৱস্থা ৰখা হৈছে।
Forensic DNA profiling is of proven value in solving cases involving offences that are categorized as affecting the human body (such as murder, rape, human trafficking, or grievous hurt), and those against property (including theft, burglary, and dacoity).	ফৰেন্সিকত কৰা ডিএনএ পৰীক্ষাৰ জৰিয়তে মানৱ কৰা বিভিন্ন হানি(যেনে-হত্যা, ধৰ্ষণ, মানৱ সৰবৰাহ অথবা গুৰুতৰ আঘাত) আৰু (চুৰি, ডকাইতি)ৰ দৰে অপৰাধজনিত গোচৰৰ নিষ্পত্তিত উল্লেখযোগ্য ভূমিকা পালন কৰে।
The aggregate incidence of such crimes in the country, as per the statistics of the National Crime Records Bureau (NCRB) for 2016, is in excess of 3 lakhs per year.	২০১৬ চনত নেচনেল ক্ৰাইম ৰেকৰ্ডছ ব্যুৰ’ৰ পৰিসংখ্যা অনুসৰি দেশত এনে ধৰণৰ অপৰাধৰ সংখ্যা প্ৰতি বছৰে ৩ লাখলৈ বৃদ্ধি পাইছে।
The Prime Minister, Shri Narendra Modi, addressed the India Today conclave in New Delhi today.	প্ৰধানমন্ত্রী শ্রী নৰেন্দ্ৰ মোদীয়ে আজি নতুন দিল্লীত ইণ্ডিয়া টুডে কনক্লেভত ভাষণ আগবঢ়ায়৷
Taking the example of apprehensions that were expressed with regard to conduct of foreign policy, he said that the events of the last few days would have set at rest doubts in this regard.	দেশৰ বৈদেশিক নীতি প্ৰসংগত হোৱা আশংকাৰ সন্দৰ্ভত প্ৰধানমন্ত্রীয়ে কয় যে বিগত কেইটামান দিনৰ ঘটনাৱলীয়ে এই নীতিক লৈ যি সন্দেহ আছে, সেয়া নাইকিয়া কৰাত সহায় কৰিব৷
He asserted that today’s India is a New India and a different India.	প্ৰধানমন্ত্ৰীয়ে সজোৰে কয় যে বৰ্তমানৰ ভাৰত এক নতুন ভাৰত তথা এখন পৃথক ভাৰত।
He said the life of every soldier is precious, and today no one can mess with India.	তেওঁ কয় যে প্ৰতিগৰাকী সেনাৰ জীৱন অমূল্য আৰু আজি ভাৰতৰ সৈতে কোনেও বেমেজালি সৃষ্টি কৰাৰ সাহস দেখুৱাব নোৱাৰে।
He said the Government is committed to taking every decision in national interest.	ৰাষ্ট্ৰীয় স্বার্থত যি কোনো সিদ্ধান্ত গ্ৰহণত তেওঁৰ চৰকাৰ প্ৰতিশ্ৰুতিবদ্ধ বুলিও প্ৰধানমন্ত্ৰীয়ে উল্লেখ কৰে৷
He said enemies are fearful of India’s valour, and the corrupt are fearful of the law, and this fear is good.	ভাৰতৰ শৌর্য দেখি শত্রুসকল ভীতিগ্ৰস্ত হয়, দুর্নীতিগ্ৰস্ত ব্যক্তিসকল আইনৰ ওচৰত ভীতিগ্ৰস্ত, কিছু ক্ষেত্ৰত এই ভীতিগ্ৰস্ততা মংগলজনক।
He said New India is marching ahead, confident of its abilities and resources.	প্ৰধানমন্ত্ৰীয়ে লগতে কয় যে নতুন ভাৰতে এই সক্ষমতা আৰু সম্পদক লৈ আগুৱাই গৈছে৷
He said such people doubt the Indian Armed Forces, but trust those who foment terrorism in India.	ফলস্বৰূপে, এই বিৰোধিতাই দেশৰ ক্ষতি কৰিছে।
Specifically, he said that India felt the absence of the Rafale fighter jet recently, over which a lot of politics has been played.	তেওঁ কয় যে ভাৰতীয় সামৰিক বাহিনীক যিসকলে সন্দেহ প্ৰকাশ কৰে, তেওঁলোকে দেশত সন্ত্রাসবাদক উদ্গনি যোগোৱাসকলকহে বিশ্বাস কৰে।
