Prime Minister Narendra Modi met Her Majesty Queen Maxima of the Kingdom of the Netherlands today.	নতুন দিল্লিতে সোমবার প্রধানমন্ত্রী শ্রী নরেন্দ্র মোদীর সঙ্গে নেদারন্যান্ডসের মহারানী ম্যাক্সিমা সাক্ষাৎ করেন।
The developed countries on the other hand, face enormous responsibilities to rapidly move their economies on to a sustainable path, follow sustainable lifestyles and assist developing countries with finance and technologies.	অন্যদিকে, নিজেদের অর্থনীতির নিরন্তর অগ্রগতি এবং জীবনশৈলীর গুণগতমান রক্ষা করার পাশাপাশি অর্থ ও প্রযুক্তিগত সহায়তার মাধ্যমে উন্নয়নশীল দেশগুলির পাশে দাঁড়ানোর গুরু দায়িত্ব এসে পড়েছে উন্নত দেশগুলির ওপর।
At the same time, we have enormous resources at our command.	সহায়সম্পদজনিত কোনও অভাব আমাদের নেই।
And technology today presents us with solutions that were unthinkable earlier.	প্রযুক্তি আমাদের সমাধানের পথ দেখিয়েছে; এক সময় যা ছিল কল্পনারও অতীত।
The challenge is to channel the available resources and use technology to tackle the most urgent problems facing us.	আমাদের চ্যালেঞ্জ হল প্রাপ্ত সম্পদ ও প্রযুক্তিকে কাজে লাগিয়ে জরুরি সমস্যাগুলির মোকাবিলা করে যাওয়া।
I urge you to see this as an opportunity.	এটি যে একটি বিশেষ সুযোগ তা আমাদের সকলকেই মনে রাখতে হবে।
To rejuvenate the Council, to make it more action oriented, policy relevant and more responsive to the needs and aspirations of our people.	পরিষদকে নতুনভাবে উজ্জীবিত করে তুলতে হবে, তাকে করে তুলতে হবে কর্মকেন্দ্রিক এবং নীতিগতভাবে প্রাসঙ্গিক, যাতে জনসাধারণের চাহিদা ও আশা-আকাঙ্খা পূরণ বাস্তবায়িত হতে পারে।
In doing so, the guiding philosophy of the ECOSOC must always be the welfare of the poorest of the poor, or ‘Antyodaya’ in Indian thought.	এই কাজ করতে হলে অর্থনৈতিক ও সামাজিক পরিষদের পথপ্রদর্শনের দর্শন হওয়া উচিৎ দরিদ্রতম মানুষটিরও কল্যাণ, যা আমাদের ভারতীয় চিন্তাভাবনায় ‘অন্ত্যোদয়’ বলে পরিচিত।
So long as there is poverty in the world, so long as our people, no matter in which country, remain deprived of basic human amenities, freedoms, rights and opportunities, the work of the ECOSOC will not be complete.	যতদিন বিশ্বে দারিদ্র্যের অস্তিত্ব থাকবে, যে কোনও দেশেরই হোন না কেন, সেখানকার নাগরিকরা যতদিন পর্যন্ত ন্যূনতম প্রাথমিক সুযোগ-সুবিধা, স্বাধীনতা, সুযোগ ও অধিকার থেকে বঞ্চিত থাকবেন ততদিন অর্থনৈতিক ও সামাজিক পরিষদের কাজ অপূর্ণই থেকে যাবে।
Following is the text of the Prime Minister, Shri Narendra Modi’s departure statement prior to attending the G-20 Summit.	প্রধানমন্ত্রী শ্রী নরেন্দ্র মোদী আর্জেন্টিনায় আয়জিত জি-২০ শীর্ষ সম্মেলনে যোগ দেওয়ার প্রাক্কালে এক বিবৃতিতে বলেছেন –
“I will be visiting Buenos Aires from 29 November -01 December 2018 to attend the 13th G-20 Summit hosted by Argentina.	“আর্জেন্টিনায় আয়োজিত ত্রয়োদশ জি-২০ শীর্ষ সম্মেলনে যোগ দিতে আমি ২৯শে নভেম্বর থেকে ১ ডিসেম্বর বুয়েন্স আয়ার্স সফর করব।
The G-20 seeks to promote multi-faceted cooperation among the twenty largest economies of the world.	বিশ্বের ২০টি বৃহৎ অর্থনীতির মধ্যে বহুস্তরীয় সহযোগিতা বৃদ্ধি করাই জি-২০ শীর্ষ সম্মেলনের উদ্দেশ্য।
